snake_name,scientific_name,toxicity,size
Clifton’s Lizard Eater,Mastigodryas cliftoni,unclear toxicity ??? unclear dangerousness,Length: up to 198.0 cm
Daniel's Tropical Racer,Mastigodryas danieli,unclear toxicity ??? unclear dangerousness,Length: up to 90.0 cm
Striped Lizard Eater,Mastigodryas dorsalis,unclear toxicity ??? unclear dangerousness,Length: up to 114.0 cm
Heath's Tropical Racer,Mastigodryas heathii,unclear toxicity ??? unclear dangerousness,Length: up to 84.0 cm
Salmon Bellied Racer,Mastigodryas melanolomus,unclear toxicity ??? unclear dangerousness,Length: up to 135.0 cm
Amazon Lizard Eater,Mastigodryas moratoi,unclear toxicity ??? unclear dangerousness,Length: unknown
Plee's Tropical Racer,Mastigodryas pleii,unclear toxicity ??? unclear dangerousness,Length: up to 120.0 cm
Cope's Tropical Racer,Mastigodryas pulchriceps,unclear toxicity ??? unclear dangerousness,Length: up to 132.0 cm
Guayaquil Lizard Eater,Mastigodryas reticulatus,unclear toxicity ??? unclear dangerousness,Length: unknown
Neotropical Racer,Mastigodryas alternatus,unclear toxicity ??? unclear dangerousness,Length: unknown
Dunger's File Snake,Mehelya egbensis,unclear toxicity ??? unclear dangerousness,Length: up to 100.0 cm
Gabou File Snake,Mehelya gabouensis,unclear toxicity ??? unclear dangerousness,Length: up to 37.0 cm
Congo File Snake,Mehelya laurenti,unclear toxicity ??? unclear dangerousness,Length: up to 47.0 cm
Western Forest File Snake,Mehelya poensis,unclear toxicity ??? unclear dangerousness,Length: up to 138.0 cm
Small Eyed File Snake,Mehelya stenophthalmus,unclear toxicity ??? unclear dangerousness,Length: up to 80.2 cm
Western Crowned Snake,Meizodon coronatus,unclear toxicity ??? unclear dangerousness,Length: up to 69.0 cm
Tana Delta Smooth Snake,Meizodon krameri,unclear toxicity ??? unclear dangerousness,Length: up to 49.0 cm
Black Headed Smooth Snake,Meizodon plumbiceps,unclear toxicity ??? unclear dangerousness,Length: up to 64.0 cm
Eastern Crowned Smooth Snake,Meizodon regularis,unclear toxicity ??? unclear dangerousness,Length: up to 72.0 cm
Semiornate Smooth Snake,Meizodon semiornatus,unclear toxicity ??? unclear dangerousness,Length: 23.0 to 77.0 cm
Two Lined Black Shieldtail,Melanophidium bilineatum,non-venomous ---,Length: up to 37.0 cm
Beddome's Black Shieldtail,Melanophidium punctatum,non-venomous ---,Length: unknown
Indian Black Earth Snake,Melanophidium wynaudense,non-venomous ---,Length: up to 40.2 cm
Khaire's Black Shieldtail,Melanophidium khairei,non-venomous ---,Length: unknown
Honduras Jumping Pitviper,Metlapilcoatlus indomitus,venomous 💀💀💀 dangerous bite,Length: up to 57.3 cm
Mexican Jumping Pitviper,Metlapilcoatlus mexicanus,venomous 💀💀💀 dangerous bite,Length: up to 98.0 cm
